時間,設備,值
2024-10-19 10:48:11,SA-10/LIGHT_LEVEL,10
2024-10-19 10:48:14,SA-10/LIGHT_LEVEL,8
2024-10-19 10:48:15,SA-10/LIGHT_LEVEL,7
2024-10-19 10:48:16,SA-10/LIGHT_LEVEL,8
2024-10-19 10:48:17,SA-10/LIGHT_LEVEL,10
2024-10-19 10:48:18,SA-10/LIGHT_LEVEL,9
2024-10-19 10:48:19,SA-10/LIGHT_LEVEL,8
2024-10-19 10:48:19,SA-10/LIGHT_LEVEL,7
2024-10-19 10:48:20,SA-10/LIGHT_LEVEL,6
2024-10-19 10:48:21,SA-10/LIGHT_LEVEL,5
2024-10-19 10:48:22,SA-10/LIGHT_LEVEL,4
2024-10-19 10:48:22,SA-10/LIGHT_LEVEL,3
2024-10-19 10:48:23,SA-10/LIGHT_LEVEL,2
2024-10-19 10:48:24,SA-10/LIGHT_LEVEL,0
2024-10-19 10:48:26,SA-10/LIGHT_LEVEL,1
2024-10-19 10:48:27,SA-10/LIGHT_LEVEL,0
2024-10-19 11:05:44,SA-10/LIGHT_LEVEL,1
2024-10-19 11:05:45,SA-10/LIGHT_LEVEL,3
2024-10-19 11:05:45,SA-10/LIGHT_LEVEL,4
2024-10-19 11:05:46,SA-10/LIGHT_LEVEL,6
2024-10-19 11:05:46,SA-10/LIGHT_LEVEL,8
2024-10-19 11:05:47,SA-10/LIGHT_LEVEL,10
2024-10-19 11:13:24,SA-10/LIGHT_LEVEL,9
2024-10-19 11:13:25,SA-10/LIGHT_LEVEL,8
2024-10-19 11:13:26,SA-10/LIGHT_LEVEL,9
2024-10-19 11:13:26,SA-10/LIGHT_LEVEL,10
2024-10-19 12:00:32,SA-10/LIGHT_LEVEL,10
2024-10-19 12:00:36,SA-10/LIGHT_LEVEL,9
2024-10-19 12:00:36,SA-10/LIGHT_LEVEL,8
2024-10-19 12:00:36,SA-10/LIGHT_LEVEL,7
2024-10-19 12:00:37,SA-10/LIGHT_LEVEL,6
2024-10-19 12:00:37,SA-10/LIGHT_LEVEL,5
2024-10-19 12:00:38,SA-10/LIGHT_LEVEL,4
2024-10-19 12:00:38,SA-10/LIGHT_LEVEL,3
2024-10-19 12:00:39,SA-10/LIGHT_LEVEL,2
2024-10-19 12:00:40,SA-10/LIGHT_LEVEL,0
2024-10-19 12:00:40,SA-10/LIGHT_LEVEL,1
2024-10-19 12:00:45,SA-10/LIGHT_LEVEL,0
2024-10-19 12:00:45,SA-10/LIGHT_LEVEL,1
2024-10-19 12:00:46,SA-10/LIGHT_LEVEL,0
